微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IFLixbrc2,晚安～  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-30 22:07,微博视频,15,1,0
IFLhlzY28,《爱可可老师24小时热门分享(2020.4.30)》  爱可可老师24小时热门分享(2020.4.30)  ,,无,无,无,2020-04-30 22:04,微博 weibo.com,9,2,2
IFKEyj8AM,🤪  原图 ,,无,无,无,2020-04-30 20:28,Mac客户端,54,25,4
IFKD7Dusz,《玩具总动员2》制作过程中，有人用命令行 /bin/rm -r -f * 清除了所有文件，90% 的文件被抹去了。事实上，备份系统并没起作用。好在，监制技术总监半年前因为生孩子，需要远程工作，所以留了一份本地备份。 via:hakan  原图 ,,无,无,无,2020-04-30 20:25,Mac客户端,73,40,9
IFKzrfjFd,现代黑胶唱片的生产 📀🤩  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-30 20:16,微博视频,42,15,8
IFK3xrf4d,向量场可视化 👍 via: Matt Henderson  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-30 18:57,微博视频,69,41,5
IFJVo930q,太赞了！🎵 via: Samara Ginsberg  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-30 18:37,微博视频,34,4,4
IFIq8gmYj,【Pylustrator：以可复现方式为出版准备数据的软件】'Pylustrator - a software to prepare your figures for publication in a reproducible way' by Richard Gerum GitHub: http://t.cn/A6AbTXCg  原图 ,,无,无,无,2020-04-30 14:47,Mac客户端,10,7,1
IFFZFhJ4H,《Python编程与实践》第9讲答疑 发布~ 视频：http://t.cn/A6A4alJ4 摘要：递归函数入口和被递归调用函数间是否要做区分、递归的适用场景、递归能否用循环代替、递归截止条件有没有其他表示方法、notebooks里某个cell一直运行中如何处理、format字符串格式化的使用、用字典+正则实现批量替换、Python递归与C/C++递归的差别、多继承与多重继承、Python里类有没有私有成员、递归的效率问题、split()函数切割长度的控制、继承的类是否可以改变类变量、是否所有类都能继承、多继承的顺序、继承类的初始化问题、代码里太长的数据定义如何简化、tsv文件和csv文件的区别、如何用Python处理tsv文件等。 课程GitHub主页：http://t.cn/A6zeRTnW 原图 ,,无,无,无,2020-04-30 08:37,Mac客户端,36,18,6
IFFOFmfXq,25年间的变化  原图 ,,无,无,无,2020-04-30 08:10,Mac客户端,77,22,5
IFFO0gETA,居家工作如何打造个人空间 😜  原图 ,,无,无,无,2020-04-30 08:08,Mac客户端,19,1,3
IFFIm7NoB,Kelly Vaughn：既然能花2个小时把一件一次性任务自动化，干嘛要花8分钟手动完成它呢？  ,,无,无,无,2020-04-30 07:54,Mac客户端,61,36,21
IFFtDgNjC,《TFRT: A new TensorFlow runtime》by Eric Johnson http://t.cn/A6A4thrU  原图 ,,无,无,无,2020-04-30 07:18,Mac客户端,15,40,4
IFFn0f1Ur,【AI经济学家：用AI驱动税收政策促进平等、提高生产力】《The AI Economist: Improving Equality and Productivity with AI-Driven Tax Policies》 http://t.cn/A6A4Gs7f paper:http://t.cn/A6A4Gs7M  [组图共9张] 原图 ,,无,无,无,2020-04-30 07:01,Mac客户端,14,19,10
IFFkAbDNB,【开放域聊天机器人构建方法】“Recipes for building an open-domain chatbot”  http://t.cn/A6A4GiNE paper:http://t.cn/A6A4GiN8  原图 ,,无,无,无,2020-04-30 06:55,Mac客户端,20,155,9
IFEPDvQmu,"《Conversational Question Answering over Passages by Leveraging Word Proximity Networks》M Kaiser, R S Roy, G Weikum [MPI for Informatics] (2020) http://t.cn/A6A4LqHw view:http://t.cn/A6A4LqH2 GitHub:http://t.cn/A6A4LqHA  [组图共8张] 原图 ",,无,无,无,2020-04-30 05:39,微博 weibo.com,7,10,1
IFEP4nmiK,"《Extending Multilingual BERT to Low-Resource Languages》Z Wang, K K, S Mayhew, D Roth [University of Illinois Urbana-Champaign & Indian Institute of Technology Kanpur & Duolingo & University of Pennsylvania] (2020) http://t.cn/A6A4LUTC view:http://t.cn/A6A4LUT9  [组图共11张] 原图 ",,无,无,无,2020-04-30 05:38,微博 weibo.com,6,15,1
IFENzwQlI,"《Unnatural Language Processing: Bridging the Gap Between Synthetic and Natural Language Data》A Marzoev, S Madden, M. F Kaashoek, M Cafarella, J Andreas [MIT & University of Michigan] (2020) http://t.cn/A6A4LvRu view:http://t.cn/A6A4LvR1  [组图共7张] 原图 ",,无,无,无,2020-04-30 05:34,微博 weibo.com,12,10,1
IFEKa1C9s,"《Energy-based models for atomic-resolution protein conformations》Y Du, J Meier, J Ma, R Fergus, A Rives [MIT & Facebook AI Research & New York University] (2020) http://t.cn/A6A42l4A view:http://t.cn/A6A42l42 GitHub: http://t.cn/A6A42l4w  [组图共12张] 原图 ",,无,无,无,2020-04-30 05:26,微博 weibo.com,2,6,0
IFEHD6d6w,"*《The large learning rate phase of deep learning: the catapult mechanism》A Lewkowycz, Y Bahri, E Dyer, J Sohl-Dickstein, G Gur-Ari [Google Brain] (2020) http://t.cn/A6A42MUR view:http://t.cn/A6A42MUE  [组图共8张] 原图 ",,无,无,无,2020-04-30 05:20,微博 weibo.com,4,9,1
IFEFzppmj,"*《Image Augmentation Is All You Need: Regularizing Deep Reinforcement Learning from Pixels》I Kostrikov, D Yarats, R Fergus [New York University] (2020) http://t.cn/A6A422ru view:http://t.cn/A6A422r3 Home:http://t.cn/A6A422rn GitHub:http://t.cn/A6AUI9TE  [组图共12张] 原图 ",,无,无,无,2020-04-30 05:14,微博 weibo.com,15,22,8
IFEDnvUxa,"*《The AI Economist: Improving Equality and Productivity with AI-Driven Tax Policies》S Zheng, A Trott, S Srinivasa, N Naik, M Gruesbeck, D C. Parkes, R Socher [Salesforce Research] (2020) http://t.cn/A6A4Ag7j view:http://t.cn/A6A4Ag7l  [组图共14张] 原图 ",,无,无,无,2020-04-30 05:09,微博 weibo.com,11,5,1
IFEzsntA2,《今日学术视野(2020.4.30)》http://t.cn/A6A4Aods  ,,无,无,无,2020-04-30 04:59,Mac客户端,2,0,0
IFExyoGaw,早！  原图 ,,无,无,无,2020-04-30 04:55,Mac客户端,21,7,5
IFBSbbcX6,晚安～  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-29 22:07,微博视频,27,3,4
IFBQr1reo,《爱可可老师24小时热门分享(2020.4.29)》  爱可可老师24小时热门分享(2020.4.29)  ,,无,无,无,2020-04-29 22:03,微博 weibo.com,2,1,0
IFBM0cHVY,用玩具+烟火拍出大片效果 👍  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-29 21:52,微博视频,49,22,5
IFBJByDuw,睡觉神器 😪  [组图共2张] 原图 ,,无,无,无,2020-04-29 21:46,Mac客户端,662,103,130
IFBEPsCY5,Catalin Pit：既然花4个小时一通盲目尝试也能解决问题，干嘛要花十分钟去看文档？  ,,无,无,无,2020-04-29 21:34,Mac客户端,50,13,4
IFBBB9uzl,【实用FFmpeg应用示例集】“useful FFmpeg commands for archivist”  http://t.cn/A6AUI6al GitHub:http://t.cn/A6AUI6aW  原图 ,,无,无,无,2020-04-29 21:26,Mac客户端,65,61,18
IFBxF5chq,【PPT+真人画中画视频合成器】’Superimposer — combine presentation videos with slides' by Jon Gjengset GitHub: http://t.cn/A6AUVHZR  [组图共2张] 原图 ,,无,无,无,2020-04-29 21:17,Mac客户端,11,31,7
IFBuzAvr6,'基于Pytorch的中文语义相似度匹配模型 (ABCNN、Albert、Bert、BIMPM、DecomposableAttention、DistilBert、ESIM、RE2、Roberta、SiaGRU、XlNet)’ by zhaogaofeng611 GitHub: http://t.cn/A6AUcqRL  原图 ,,无,无,无,2020-04-29 21:09,Mac客户端,42,108,18
