微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IFBqJoS5t,【Transformers、fastai v2整合库】’blurr - A library that integrates huggingface transformers with version 2 of the fastai framework' by ohmeow GitHub: http://t.cn/A6AU5S7I  原图 ,,无,无,无,2020-04-29 21:00,Mac客户端,4,12,4
IFBpxguVr,【YOLOv4的PyTorch最小化实现】’Pytorch-YOLOv4 - Minimal PyTorch implementation of YOLOv4' by Tianxiaomo GitHub: http://t.cn/A6AUqkKM paper:http://weibo.com/1402400261/IF2WvvIlI  原图 ,,无,无,无,2020-04-29 20:57,Mac客户端,60,88,35
IFBoYFw8w,"【JAX混合密度网络教程】’hardmaru - Mixture Density Networks (Bishop, 1994) tutorial in JAX' by hardmaru GitHub: http://t.cn/A6AUqQHG  原图 ",,无,无,无,2020-04-29 20:55,Mac客户端,3,6,2
IFBotE31U,【Astropy：在线天文数据访问包】’Astropy - Functions and classes to access online data resources' GitHub: http://t.cn/A6AUqKj0  原图 ,,无,无,无,2020-04-29 20:54,Mac客户端,7,8,4
IFwXjpppJ,有嘴就能说：用单幅静态图像生成说话动画 more:http://t.cn/A6AL7WyC  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-29 09:36,微博视频,45,42,6
IFwVdopp7,有时候运气比聪明更靠谱 via:Vetle Forsland  原图 ,,无,无,无,2020-04-29 09:31,Mac客户端,44,15,1
IFwTocluw,日本东京三轩茶屋(Sangenjaya)后巷的摄影测绘3D点云，好棒！ http://t.cn/A6ALPRqF  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-29 09:27,微博视频,37,15,7
IFwQMfOFr,这个 VRChat Airbnb world 效果也太赞了～  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-29 09:20,微博视频,25,10,1
IFwMu4eZI,Denny Britz：大家总是很喜欢收集，比如100篇“必读”论文/notebooks/教程/在线课程。但如果你坐下来，读篇论文、读本书、做个项目，或其他什么，静静思考，并沉浸其中，总能学到更多。  ,,无,无,无,2020-04-29 09:09,Mac客户端,85,26,14
IFwK9yAp1,如何跟其他人“打”成一片 🤣  原图 ,,无,无,无,2020-04-29 09:04,Mac客户端,117,29,11
IFwJg1gB8,人脸+动物脸=❓via:Xander Steenbrugge  more:http://t.cn/A6A2kSQG  [组图共2张] 原图 ,,无,无,无,2020-04-29 09:02,Mac客户端,18,3,10
IFwHKzNzu,François Chollet：当你读到一篇论文，解释晦涩难懂，简直啃不动……可以肯定，作者本人其实也没理解。  ,,无,无,无,2020-04-29 08:58,Mac客户端,315,359,31
IFwEinvx3,"《Fine-tuning ResNet with Keras, TensorFlow, and Deep Learning | PyImageSearch》by Adrian Rosebrock http://t.cn/A6A2e919  [组图共8张] 原图 ",,无,无,无,2020-04-29 08:49,Mac客户端,28,45,7
IFwADrroC,"【不确定性可视化】《Uncertainty Visualization》by Lace Padilla, Matthew Kay, Jessica Hullman http://t.cn/A6A2gLoj  原图 ",,无,无,无,2020-04-29 08:40,Mac客户端,47,64,12
IFwlCmYDL,"【R 4.0.0发布】《R 4.0.0 now available, and a look back at R's history (Revolutions)》 http://t.cn/A6A2ulYN  原图 ",,无,无,无,2020-04-29 08:03,Mac客户端,7,7,2
IFwk9Bi35,"【Google的医学AI在实验室里非常精确,而现实里却是另一回事——由于光线等问题，现实的图片质量往往欠佳；网络延迟也是个问题】《Google’s medical AI was super accurate in a lab. Real life was a different story. | MIT Technology Review》 http://t.cn/A6A2uA8u  [组图共2张] 原图 ",,无,无,无,2020-04-29 08:00,Mac客户端,19,34,3
IFwhPsulr,【Yoshua Bengio：注意力是“有意识”AI的核心要素】《Yoshua Bengio: Attention is a core ingredient of 'conscious' AI | VentureBeat》 http://t.cn/A6A2mIu0  原图 ,,无,无,无,2020-04-29 07:54,Mac客户端,29,44,6
IFvGufuNU,"《Learning Neural-Symbolic Descriptive Planning Models via Cube-Space Priors: The Voyage Home (to STRIPS)》M Asai, C Muise [IBM Research & Queen’s University] (2020) http://t.cn/A6A2l09r view:http://t.cn/A6A2l09B  [组图共10张] 原图 ",,无,无,无,2020-04-29 06:22,微博 weibo.com,7,3,0
IFvEOyQxR,"《DeeBERT: Dynamic Early Exiting for Accelerating BERT Inference》J Xin, R Tang, J Lee, Y Yu, J Lin [University of Waterloo] (2020) http://t.cn/A6A2lcoZ view:http://t.cn/A6A2lcoA GitHub: http://t.cn/A6A2lco2  [组图共10张] 原图 ",,无,无,无,2020-04-29 06:18,微博 weibo.com,10,21,3
IFvE9tJTS,"《ColBERT: Efficient and Effective Passage Search via Contextualized Late Interaction over BERT》O Khattab, M Zaharia [Stanford University] (2020) http://t.cn/A6A2lUPD view:http://t.cn/A6A2lUPe  [组图共10张] 原图 ",,无,无,无,2020-04-29 06:16,微博 weibo.com,11,15,1
IFvDigk9F,"《Semantic Graphs for Generating Deep Questions》L Pan, Y Xie, Y Feng, T Chua, M Kan [NUS Graduate School for Integrative Sciences and Engineering & National University of Singapore & Peking University] (2020) http://t.cn/A6A2CW7z view:http://t.cn/A6A2lPX0 GitHub: http://t.cn/A6A2lPXO [组图共10张] 原图 ",,无,无,无,2020-04-29 06:14,微博 weibo.com,5,18,3
IFvBkwJx5,"《One-Shot Identity-Preserving Portrait Reenactment》S Xiang, Y Gu, P Xiang, M He, K Nagano, H Chen, H Li [University of Southern California] (2020) http://t.cn/A6A2WWeY view:http://t.cn/A6A2WWeT  [组图共18张] 原图 ",,无,无,无,2020-04-29 06:09,微博 weibo.com,18,12,1
IFvzFqBNS,"《A general approach to progressive intelligence》J T. Vogelstein, H S. Helm, R D. Mehta, J Dey, W Yang, B Tower, W LeVine, J Larson, C White, C E. Priebe [Johns Hopkins University & Microsoft Research] (2020) http://t.cn/A6AAPfNk view:http://t.cn/A6A2WJvX  [组图共13张] 原图 ",,无,无,无,2020-04-29 06:05,微博 weibo.com,9,5,2
IFvyU80Dh,"《Disentangled Image Generation Through Structured Noise Injection》Y Alharbi, P Wonka [King Abdullah University for Science and Technology (KAUST)] (2020) http://t.cn/A6A2Wt0R view:http://t.cn/A6A2Wt08  [组图共12张] 原图 ",,无,无,无,2020-04-29 06:03,微博 weibo.com,15,12,2
IFvxDynSz,"《A Global Benchmark of Algorithms for Segmenting Late Gadolinium-Enhanced Cardiac Magnetic Resonance Imaging》Z Xiong, Q Xia, Z Hu, N Huang... [] (2020) http://t.cn/A6A2Wwip view:http://t.cn/A6A2WwiN  [组图共11张] 原图 ",,无,无,无,2020-04-29 06:00,微博 weibo.com,6,6,2
IFvwfwc4G,"《Why should we add early exits to neural networks?》S Scardapane, M Scarpiniti, E Baccarelli, A Uncini [University of Rome] (2020) http://t.cn/A6A2OdnF view:http://t.cn/A6A2Odns  [组图共7张] 原图 ",,无,无,无,2020-04-29 05:57,微博 weibo.com,12,22,3
IFvpOj9XB,"《Hamiltonian Monte Carlo using an embedded Laplace approximation》C C. Margossian, A Vehtari, D Simpson, R Agrawal [Columbia University & Aalto University & University of Toronto & MIT] (2020) http://t.cn/A6A2OzZ1 view:http://t.cn/A6A2OzZ3  [组图共16张] 原图 ",,无,无,无,2020-04-29 05:41,微博 weibo.com,2,9,1
IFvoJx3Mf,"《Unsupervised Real Image Super-Resolution via Generative Variational AutoEncoder》Z Liu, W Siu, L Wang, C Li, M Cani, Y Chan [The Hong Kong Polytechnic University & LIX] (2020) http://t.cn/A6A20DLe view:http://t.cn/A6A20DLk GitHub:http://t.cn/A6A20DLD  [组图共11张] 原图 ",,无,无,无,2020-04-29 05:38,微博 weibo.com,12,22,6
IFvkAbzty,"《First return then explore》A Ecoffet, J Huizinga, J Lehman, K O. Stanley, J Clune [Uber AI] (2020) http://t.cn/A6A20XNb view:http://t.cn/A6A20XN4 GitHub:http://t.cn/Ec0QLJN  [组图共6张] 原图 ",,无,无,无,2020-04-29 05:28,微博 weibo.com,6,5,0
IFvgC2Zcc,"*《MakeItTalk: Speaker-Aware Talking Head Animation》Y Zhou, D Li, X Han, E Kalogerakis, E Shechtman, J Echevarria [University of Massachusetts Amherst & Adobe Research & Huya Inc] (2020) http://t.cn/A6A2CHDT view:http://t.cn/A6A20vED  [组图共18张] 原图 ",,无,无,无,2020-04-29 05:18,微博 weibo.com,12,18,7
IFvcrdpGz,《今日学术视野(2020.4.29)》http://t.cn/A6A2ppOx  ,,无,无,无,2020-04-29 05:08,Mac客户端,3,0,0
IFvaVu5Hk,早！  原图 ,,无,无,无,2020-04-29 05:04,Mac客户端,41,12,5
IFspckhjb,晚安～  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-28 22:01,微博视频,70,15,11
IFsnNruqY,《爱可可老师24小时热门分享(2020.4.28)》  爱可可老师24小时热门分享(2020.4.28)  ,,无,无,无,2020-04-28 21:58,微博 weibo.com,12,2,4
IFrEbzi15,简单之美 😎  原图 ,,无,无,无,2020-04-28 20:05,Mac客户端,90,63,7
IFrDPqLNH,Catalin Pit：作为编程新手，你必须知道的一件事就是：实际干一个项目 > 看100个教程。 👍  ,,无,无,无,2020-04-28 20:04,Mac客户端,130,45,9
IFrB5fVLF,Sven Schnieders：在日常生活里，你会因为想法与众不同而获得奖励；在学校里，你会受到惩罚。  ,,无,无,无,2020-04-28 19:58,Mac客户端,19,3,4
IFrAhiePX,不看文档，拿来就用 🤪  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-28 19:56,微博视频,56,18,7
IFrz6BuZ2,😺  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-28 19:53,微博视频,41,6,10
IFr4wrxc8,【WebXR + TensorFlow.js 实现的拍照创建全息Demo】“Holograms” by Alexandre Devaux http://t.cn/A6Awo8xL  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-28 18:37,微博视频,69,49,12
IFpmCyNcU,几篇论文实现代码：《MSeg: A Composite Dataset for Multi-Domain Segmentation》(CVPR 2020) GitHub:http://t.cn/A6AwTZhj《Unsupervised Attributed Multiplex Network Embedding》(AAAI 2020) GitHub:http://t.cn/A6AwTZhl《FASTER: Fast and Safe Trajectory Planner for Flights in Unknown Environments》(IROS 2020) GitHub:http://t.cn/A6AwTZhW [组图共3张] 原图 ,,无,无,无,2020-04-28 14:17,微博 weibo.com,24,33,6
IFpkN6Jaz,【LibKGE：面向可复现研究的知识图谱嵌入库】’LibKGE - A knowledge graph embedding library for reproducible research' GitHub: http://t.cn/A6AwYfb2  原图 ,,无,无,无,2020-04-28 14:12,Mac客户端,12,31,5
IFpjSnq75,【RGB摄像头“社交距离”检测】’Social-Distancing - Code for estimating social distances from RGB cameras.' by IIT-PAVIS GitHub: http://t.cn/A6AwjkJg  原图 ,,无,无,无,2020-04-28 14:10,Mac客户端,27,24,7
IFpiydXgF,【飞桨图像分类套件PaddleClas】'PaddleClas - A treasure chest for image classification powered by PaddlePaddle' GitHub: http://t.cn/A6Awji4K  [组图共3张] 原图 ,,无,无,无,2020-04-28 14:07,Mac客户端,12,11,4
IFp6yd1tu,【scikit-network：图分析算法库】’scikit-network - Graph Algorithms' GitHub: http://t.cn/A6AwpTUn  [组图共3张] 原图 ,,无,无,无,2020-04-28 13:37,Mac客户端,40,94,13
IFp5ybHxw,【跨平台密码/密钥管理工具】’keys.pub - Key management is hard' https://keys.pub/ GitHub: http://t.cn/A6Awpcap  原图 ,,无,无,无,2020-04-28 13:34,Mac客户端,14,16,4
IFp4oDkN2,【HSE：异构内存存储引擎，为SSD固态硬盘设计的嵌入式键值存储库】’HSE: Heterogeneous-Memory Storage Engine' GitHub: http://t.cn/A6AwN1cU  [组图共2张] 原图 ,,无,无,无,2020-04-28 13:32,Mac客户端,6,14,3
IFoUcA0KG,【适合科学出版的Matplotlib绘图主题】’Science Plots - Matplotlib styles for scientific plotting' by John Garrett GitHub: http://t.cn/A6AworJv  [组图共9张] 原图 ,,无,无,无,2020-04-28 13:07,Mac客户端,81,109,27
IFoRV5gym,"【a-shell：开源的iOS平台多窗口终端App，可进行灵活的命令行操作以及Lua, Python, JavaScript, C and C++等语言编程】’a-shell: A terminal for iOS, with multiple windows - A terminal for iOS, with multiple windows' by Nicolas Holzschuch GitHub: http://t.cn/A6AwSFyv Home:http://t.cn/A6AwSFyh Apple store:http://t.cn/A6AwSFLs [组图共6张] 原图 ",,无,无,无,2020-04-28 13:01,Mac客户端,6,3,4
IFnanFVjT,#转发赠书# 携手@博文视点Broadview 送出 5 本《携程人工智能实践》 截止2020.5.6 12:00，*可可粉*转发即可参与。介绍携程在人工智能技术落地方面的深入探索，重点分享如何从实际应用场景入手，把业务和产品的目标转化为人工智能模型和算法问题，是携程技术团队多年开发和应用人工智能实践经验的结晶。详情：http://t.cn/A6AZR99g @微博抽奖平台 http://t.cn/A6AZEOJo [组图共2张] 原图 ,,无,无,无,2020-04-28 08:41,Mac客户端,39,207,43
IFn6I7Eej,【StarGAN v2官方实现 & 动物脸数据集】’StarGAN v2 - Official PyTorch Implementation (CVPR 2020)' by Clova AI Research GitHub: http://t.cn/AieqHhyy paper:《StarGAN v2: Diverse Image Synthesis for Multiple Domains》http://weibo.com/1402400261/IjsgKtZEB  [组图共8张] 原图 ,,无,无,无,2020-04-28 08:32,Mac客户端,56,57,18
IFmKScVrX,【HuggingFace’s Transformer + fastai 实例教程】《Tutorial - Transformers | fastai》 http://t.cn/A6AZOaYQ  原图 ,,无,无,无,2020-04-28 07:38,Mac客户端,20,33,9
IFmH4mYUE,【huggingface’s BERT的产品化部署(PyTorch/Serve)】《Deploying huggingface‘s BERT to production with pytorch/serve》by MFreidank http://t.cn/A6AZ0Vp0  原图 ,,无,无,无,2020-04-28 07:29,Mac客户端,31,47,12
IFmDA5O9W,【按GitHub上Star数排序的ICLR 2020论文代码】“ICLR 2020 | Papers With Code”  http://t.cn/A6AZp4Uj  原图 ,,无,无,无,2020-04-28 07:20,Mac客户端,44,79,27
IFmBA0Hle,"【数据增广自动化：实践、理论与新方向】《Automating Data Augmentation: Practice, Theory and New Direction》by Sharon Y. Li http://t.cn/A6AZN0fG  [组图共6张] 原图 ",,无,无,无,2020-04-28 07:15,Mac客户端,29,85,23
IFmAu02Rn,【ICLR 2020知识图谱成果汇总】《Knowledge Graphs @ ICLR 2020》by Michael Galkin http://t.cn/A6AZN5TP  [组图共9张] 原图 ,,无,无,无,2020-04-28 07:12,Mac客户端,42,74,19
IFmzPyvoQ,【PyTorch神经网络微分方程库】’torchdyn - A PyTorch based library for all things neural differential equations' by DiffEq.ml GitHub: http://t.cn/A6AZNz7U  原图 ,,无,无,无,2020-04-28 07:11,微博 weibo.com,22,38,10
IFmxA43YO,【损失条件训练多损失函数优化】《Optimizing Multiple Loss Functions with Loss-Conditional Training | Google AI Blog》http://t.cn/A6AZCSSo paper:《You Only Train Once: Loss-Conditional Training of Deep Networks》(2020) http://t.cn/A6AZCSSa  [组图共3张] 原图 ,,无,无,无,2020-04-28 07:05,Mac客户端,29,79,12
IFlYDtAod,"《Improving Massively Multilingual Neural Machine Translation and Zero-Shot Translation》B Zhang, P Williams, I Titov, R Sennrich [University of Edinburgh & University of Zurich] (2020) http://t.cn/A6AZXcDA view:http://t.cn/A6AZXcD2 GitHub: http://t.cn/Ai8sDGhi  [组图共13张] 原图 ",,无,无,无,2020-04-28 05:39,微博 weibo.com,11,10,5
IFlWV7dav,"《ST²: Small-data Text Style Transfer via Multi-task Meta-Learning》X Chen, K Q. Zhu [Shanghai Jiao Tong University] (2020) http://t.cn/A6AZXwwe view:http://t.cn/A6AZXwwk  [组图共12张] 原图 ",,无,无,无,2020-04-28 05:35,微博 weibo.com,15,13,3
IFlWftEGg,"《Dropout as an Implicit Gating Mechanism For Continual Learning》S Mirzadeh, M Farajtabar, H Ghasemzadeh [Washington State University & DeepMind] (2020) http://t.cn/A6AZXP6j view:http://t.cn/A6AZXP6Y GitHub: http://t.cn/A6AZXP6H  [组图共11张] 原图 ",,无,无,无,2020-04-28 05:33,微博 weibo.com,8,10,4
IFlUVjRXN,"《Efficient Neural Architecture for Text-to-Image Synthesis》D M. Souza, J Wehrmann, D D. Ruiz [Pontifıcia Universidade Catolica do Rio Grande do Sul] (2020) http://t.cn/A6AZ6BHA view:http://t.cn/A6AZ6BHZ  [组图共10张] 原图 ",,无,无,无,2020-04-28 05:30,微博 weibo.com,11,9,2
IFlRToQRw,"《Lite Transformer with Long-Short Range Attention》Z Wu, Z Liu, J Lin, Y Lin, S Han [MIT] (2020) http://t.cn/A6AZ6Cux view:http://t.cn/A6AZ6CuM GitHub: http://t.cn/A6AZ6CuI  [组图共13张] 原图 ",,无,无,无,2020-04-28 05:23,微博 weibo.com,25,37,8
IFlR2emlR,"《Decoupling Global and Local Representations from/for Image Generation》X Ma, X Kong, S Zhang, E Hovy [CMU & UC Berkeley] (2020) http://t.cn/A6AZ6aiB view:http://t.cn/A6AZ6aid GitHub: http://t.cn/A6AZ6ai1  [组图共7张] 原图 ",,无,无,无,2020-04-28 05:20,微博 weibo.com,18,21,2
IFlKWxJBE,"《Practical Hilbert space approximate Bayesian Gaussian processes for probabilistic programming》G Riutort-Mayol, P Bürkner, M R. Andersen, A Solin, A Vehtari [Universitat Politecnica de Valencia & Aalto University & Technical University of Denmark] (2020) http://t.cn/A6AZi3R7 view:http://t.cn/A6AZi3Rz [组图共18张] 原图 ",,无,无,无,2020-04-28 05:05,微博 weibo.com,5,6,0
IFlIix3hp,《今日学术视野(2020.4.28)》http://t.cn/A6AZipPm  ,,无,无,无,2020-04-28 04:59,Mac客户端,2,0,0
IFlG89kcW,早！  原图 ,,无,无,无,2020-04-28 04:54,Mac客户端,22,4,5
IFiRurj8c,晚安～  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-27 21:43,微博视频,41,12,6
IFiPLrrf5,《爱可可老师24小时热门分享(2020.4.27)》  爱可可老师24小时热门分享(2020.4.27)  ,,无,无,无,2020-04-27 21:39,微博 weibo.com,5,3,0
IFiCY3pju,新番外“你一定听得懂的*递归*教程” 发布～ 什么是递归？什么问题可以用递归？如何设计并实现递归？带你学个通通透透！——第9讲答疑不少同学都卡在了递归上，所以花了几天时间、专门做了这段片子，希望能帮大家迈过递归这个坎儿，一起探索编程之美～ 你一定听得懂的*递归*教程！  原图 ,,无,无,无,2020-04-27 21:08,Mac客户端,68,69,11
IFiAv1rKw,  原图 ,,无,无,无,2020-04-27 21:02,Mac客户端,103,46,13
IFizj5LtC,一张图理解DHCP via:Kamran Ahmed  原图 ,,无,无,无,2020-04-27 20:59,Mac客户端,28,27,8
IFiyFcxf2,约翰 · 纳什的研究生推荐信  via:Jon Stewart Mill  原图 ,,无,无,无,2020-04-27 20:57,Mac客户端,160,98,17
IFiuclwkP,有趣的人脸AR涂鸦 GitHub:http://t.cn/A6Az9t8R  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-27 20:46,微博视频,26,16,1
IFipC5ock,看来我被要求扮演王子已经是超级优待了 🤣  photo by Andy Bell  原图 ,,无,无,无,2020-04-27 20:35,Mac客户端,48,8,5
IFifM9J7t,多少个水球能挡住一颗子弹？🤩  爱可可-爱生活的微博视频  ,,无,无,无,2020-04-27 20:10,微博视频,17,6,7
IFfMabkU5,【CS:GO泄漏源码】’Leak of CS:GO Source code' by perilouswithadollarsign GitHub: http://t.cn/A6A7f1H6  原图 ,,无,无,无,2020-04-27 13:52,Mac客户端,19,20,7
IFfKwxUzH,"【能跑能走会跳的斯坦福树莓派四足机器人代码】’Stanford Quadruped - code for Stanford Pupper and Stanford Woofer, Raspberry Pi-based quadruped robots that can trot, walk, and jump' by Stanford Student Robotics GitHub: http://t.cn/A6A7fy1G  [组图共2张] 原图 ",,无,无,无,2020-04-27 13:48,Mac客户端,35,53,10
IFfFV48rH,【CVXR：(R)面向对象的凸优化问题建模语言】’CVXR - An R modeling language for convex optimization problems.' GitHub: http://t.cn/A6A7cJX5  原图 ,,无,无,无,2020-04-27 13:37,Mac客户端,5,9,2
IFfEvjdKF,【AR人脸涂鸦(Tensorflow.js/FaceMesh/Three.js)】’AR Face Doodle - Doodle AR masks right from the browser with tensorflow.js' by Cyril Diagne GitHub: http://t.cn/A6A7tuYH Demo: http://t.cn/A6A7tuY8  原图 ,,无,无,无,2020-04-27 13:33,Mac客户端,33,36,8
